Average move speed vs Time
Frame,Value
50,0.75
100,0.75
150,0.738925140588
200,0.735253608816
250,0.753475810547
300,0.752636208159
350,0.752636208159
400,0.752636208159
450,0.752636208159
500,0.752636208159
550,0.752636208159
600,0.752636208159
650,0.762974627757
700,0.765795199009
750,0.765795199009
800,0.781361138151
850,0.788206121292
900,0.78180408644
950,0.78180408644
1000,0.791589959191
1050,0.791589959191
1100,0.791589959191
1150,0.804066946948
1200,0.804066946948
1250,0.810716409712
1300,0.794844006887
1350,0.799826674319
1400,0.799826674319
1450,0.823316110562
1500,0.831462345069
